UniqueCount	AmbigCount
0	29
0	29
0	29
0	30
0	29
0	29
0	30
0	30
0	29
0	28
0	28
0	28
0	30
0	31
0	30
0	31
0	30
0	31
0	29
0	30
0	29
0	29
0	30
0	29
0	30
0	30
0	26
0	22
0	22
0	21
0	21
0	27
0	28
0	27
0	28
0	28
0	26
0	26
0	26
0	28
0	29
0	29
0	28
0	29
0	27
0	28
0	27
0	27
0	28
0	27
0	28
0	28
0	20
0	20
0	19
0	32
0	32
32	0
0	29
0	31
0	29
0	31
0	28
0	30
0	29
0	31
0	29
0	31
0	7
0	28
0	28
0	29
0	27
0	28
0	28
0	31
0	31
0	31
0	29
0	31
0	29
0	28
0	30
0	29
0	29
0	7
0	29
1	27
0	28
0	28
0	28
0	27
1	27
0	27
1	27
0	28
0	28
0	27
0	27
0	27
0	27
0	27
0	27
0	27
0	32
0	32
0	32
0	32
0	32
0	32
0	31
0	31
0	31
0	31
0	31
0	31
0	31
0	28
0	27
0	27
0	27
0	27
0	27
0	27
1	29
0	30
0	30
1	27
0	26
0	28
0	29
0	29
0	29
0	29
0	4
0	29
0	29
0	29
0	28
0	29
0	29
0	27
0	4
0	27
1	31
0	30
0	31
0	60
0	60
0	60
0	60
0	60
0	60
0	60
0	60
0	60
0	60
0	60
0	60
0	60
0	62
0	62
0	60
0	60
0	60
0	60
0	60
0	59
0	57
0	57
0	47
0	47
0	47
0	14
0	16
0	47
0	47
0	47
0	47
0	47
0	47
0	52
0	47
0	52
0	47
0	52
0	47
0	52
0	50
0	52
0	18
0	18
0	50
0	52
0	50
0	47
0	50
0	54
0	52
0	52
0	52
0	48
0	49
0	49
0	49
0	49
0	49
0	47
0	52
0	49
0	50
0	46
0	47
0	50
0	50
0	24
0	14
0	14
0	16
0	20
0	18
0	15
0	15
0	16
0	18
0	13
0	11
0	2
0	11
0	11
0	11
0	11
0	11
0	11
0	11
0	11
0	11
0	11
0	9
0	2
0	2
0	49
0	21
0	49
0	21
0	2
0	2
0	2
0	2
0	2
0	9
0	2
0	2
0	42
0	15
0	42
0	15
0	2
0	2
0	2
0	2
0	43
0	31
0	42
0	44
0	45
0	33
0	34
0	27
0	30
0	23
0	22
0	26
0	42
0	30
0	41
0	43
0	32
0	26
0	30
0	23
0	22
0	41
0	25
13	69
9	44
0	54
0	49
0	47
0	44
0	42
0	58
0	58
0	58
0	59
0	59
0	55
0	55
0	55
0	55
0	55
0	56
0	56
0	56
0	51
0	47
0	44
0	44
0	43
0	40
0	43
0	40
0	40
0	41
0	43
0	40
0	41
0	29
0	42
0	27
0	44
0	37
0	55
0	55
0	55
0	56
0	56
0	52
0	52
0	53
0	53
0	40
0	37
0	40
0	37
0	37
0	38
0	40
0	37
0	38
0	39
0	37
0	56
0	56
0	55
0	57
0	58
0	53
0	57
0	57
0	56
0	55
0	55
0	56
0	56
0	56
0	56
0	56
0	56
0	56
0	53
0	53
0	53
0	53
0	54
0	51
0	51
0	51
0	56
0	55
0	52
0	50
0	55
0	50
0	51
0	41
0	41
0	38
0	25
0	52
0	55
0	55
0	53
0	53
0	49
0	56
0	56
0	55
0	57
0	58
0	53
0	57
0	57
0	56
0	55
0	55
0	56
0	56
0	56
0	56
0	56
0	56
0	53
0	53
0	53
0	53
0	54
0	51
0	51
0	51
0	56
0	55
0	52
0	50
0	55
0	50
0	55
0	55
0	53
0	53
0	49
0	85
0	82
0	87
0	69
0	18
0	18
0	16
0	13
0	79
0	82
0	65
0	17
0	17
0	15
0	12
0	54
0	58
0	52
0	82
0	72
0	68
0	75
0	63
0	61
0	16
0	53
0	6
0	51
0	53
0	53
0	53
0	50
0	51
0	50
0	6
0	47
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	45
0	19
0	19
0	19
0	19
0	19
1	57
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	49
0	19
0	19
0	19
0	23
0	23
0	49
0	46
0	45
0	47
0	44
0	47
0	44
0	25
0	35
0	35
0	33
0	33
0	33
0	22
0	22
0	22
0	41
0	44
0	33
0	33
0	44
0	41
0	33
0	24
0	45
0	45
0	45
0	45
0	45
0	45
0	45
0	45
0	45
0	45
0	45
0	18
0	18
0	18
0	24
0	24
0	24
0	24
0	24
0	24
0	24
0	24
0	24
0	24
0	24
0	24
0	18
0	45
0	43
0	45
0	24
0	18
0	24
0	43
0	43
0	22
0	22
0	20
0	42
0	42
0	42
0	42
0	42
0	42
0	42
0	42
0	42
0	18
0	23
0	81
0	80
0	46
0	41
0	49
0	49
0	46
0	46
0	52
0	50
0	45
0	22
0	20
0	22
0	20
0	53
0	53
0	58
0	15
0	54
0	59
0	15
3	78
0	75
0	74
0	75
0	50
0	49
0	45
0	35
0	37
0	45
0	34
0	48
0	35
0	33
0	18
0	48
0	48
0	45
0	32
0	15
0	53
0	54
0	56
0	53
0	55
0	54
0	56
0	53
0	55
0	53
0	51
0	53
0	52
0	51
0	53
0	52
0	50
0	50
0	52
0	51
0	53
0	52
0	52
1	70
0	69
0	71
0	76
0	59
0	55
0	58
0	64
0	33
0	62
0	60
0	60
0	58
0	58
0	47
1	51
0	47
0	56
0	56
0	57
0	57
0	39
0	26
0	20
0	5
1	3
0	50
0	50
0	45
0	54
0	37
0	24
0	18
0	54
0	3
0	50
0	50
0	45
0	32
0	31
0	32
