"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADCY3",31.7594904149263,0.0181790904206954,0.378292903740983,0.0480555945959341,0.961671935668931,0.993555017035493
"AGRP",31.9594904149263,0.00305230613861776,0.37786933994089,0.00807767610649553,0.993555017035493,0.993555017035493
"ANKRD27",31.9594904149263,0.00305230613861776,0.37786933994089,0.00807767610649553,0.993555017035493,0.993555017035493
"ANO4",31.9594904149263,0.00305230613861776,0.37786933994089,0.00807767610649553,0.993555017035493,0.993555017035493
"BDNF",46.329108226121,-0.804304010717359,0.362008417033715,-2.22178262402792,0.0262979995614791,0.121628247971841
"CADM1",31.9594904149263,0.00305230613861776,0.37786933994089,0.00807767610649553,0.993555017035493,0.993555017035493
"CADM2",46.329108226121,-0.804304010717359,0.362008417033715,-2.22178262402792,0.0262979995614791,0.121628247971841
"CALCR",31.9594904149263,0.00305230613861776,0.37786933994089,0.00807767610649553,0.993555017035493,0.993555017035493
"CNR1",52.9316400751881,0.0483506009958588,0.345798786320119,0.139822934343959,0.888799892312799,0.993555017035493
"CREBRF",22.3696178111947,-0.37355883306246,0.426995081576715,-0.874855119368266,0.381652741701744,0.929340453957138
"DPP9",45.7392356223894,0.0398347870766282,0.354066292384059,0.112506578382274,0.910421754065893,0.993555017035493
"FTO",10.9962022263993,0.85035609070498,0.517449499299677,1.64336054408375,0.100308358495146,0.371140926432041
"GIPR",37.1493630186578,-0.140613584175924,0.370627468220671,-0.379393316018885,0.704395813265695,0.993555017035493
"GPR151",62.317714905319,0.00700132629103351,0.336196120134402,0.0208251251925054,0.983385155077953,0.993555017035493
"GPR75",40.9480970941243,-0.0855350034995189,0.364419535694717,-0.234715746883487,0.814429364884302,0.993555017035493
"KIAA0586",21.3746815093289,0.561220417412134,0.419512913855959,1.33779056347436,0.180964718876893,0.557974549870419
"KIAA1109",16.9822770565302,0.349733991715031,0.443105685464884,0.789278953503177,0.429948984852065,0.929340453957138
"KSR2",48.9341719242552,-0.376879925218635,0.354542881589865,-1.06300237513895,0.287780874230189,0.81906864203977
"LEP",50.3164489807854,-1.53696149518812,0.392418442682142,-3.91663930136193,8.97919404161501e-05,0.00110743393179918
"LEPR",32.9860748301309,2.58801755285885,0.417955466720657,6.19208925095498,5.93719148804169e-10,2.19676085057543e-08
"MC4R",16.5683518866611,-1.97666642649288,0.557312936860782,-3.54678008665471,0.000389969967821548,0.00360722220234932
"MRAP2",39.7430333959901,0.135198179092326,0.368131181103892,0.367255440538656,0.713428488526719,0.993555017035493
"NRP1",22.5734155847954,0.306271174552611,0.412271699690731,0.742886729267041,0.457550260849483,0.929340453957138
"NRP2",37.3594904149263,0.199757415557499,0.36827741978718,0.542410163710105,0.587535979527758,0.993555017035493
"NTRK2",32.340501546923,-2.32396064599292,0.46766116138943,-4.96932573808008,6.71861208318845e-07,1.24294323538986e-05
"PCSK1",51.1455652450572,0.882322127122312,0.34958163033753,2.52393733123336,0.0116048614437895,0.071563312236702
"PDE3B",36.3518948677249,-0.260037228268867,0.387650804674387,-0.670802756329343,0.502346191328183,0.929340453957138
"PHIP",14.3835429810638,0.427588162510231,0.475291500813226,0.89963351286237,0.368315316500685,0.929340453957138
"POMC",58.7405015469229,0.568282403774123,0.337695510509577,1.68282487059598,0.0924089989385248,0.371140926432041
"PPARG",29.7594904149263,0.178863841752452,0.389299478278688,0.459450504643135,0.64591068743012,0.993555017035493
"ROBO1",21.3683518866611,-0.640803125198426,0.430779421909411,-1.4875434911865,0.13687132551221,0.460385367631979
"SH2B1",54.1556926413256,0.9192704152465,0.348376418434286,2.63872744136355,0.00832178573384263,0.0615812144304355
"SIM1",15.1734155847954,-0.355003421394954,0.474911526146909,-0.747514856662243,0.454752838298949,0.929340453957138
"SPARC",48.3367037733223,0.0328883004012394,0.34986370921407,0.0940031776234216,0.925106632537688,0.993555017035493
"TMEM18",18.5835429810638,0.307557600130316,0.43334033827204,0.709736834924512,0.477867345501745,0.929340453957138
"UBR2",52.1303741506545,-0.145977572560047,0.346954974785368,-0.420739240445683,0.673945503690323,0.993555017035493
"UHMK1",31.9594904149263,0.00305230613861776,0.37786933994089,0.00807767610649553,0.993555017035493,0.993555017035493
