"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LEPR",32.5700277458188,1.56270922514312,0.405171903238122,3.85690422424159,0.000114832129579537,0.00482294944234056
"UHMK1",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"TMEM18",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"ADCY3",22.7569148846146,-0.0271853474647432,0.425251504678775,-0.0639276925904785,0.949027801873963,0.99379386656576
"POMC",41.5400554916377,0.811876476863387,0.372369843089648,2.18029599316379,0.0292355278934452,0.185315459383527
"GPR75",31.341928757524,0.0121443004561651,0.393911023861002,0.030830059887967,0.975405067485332,0.99379386656576
"NRP2",29.1475485551829,0.0290861771951403,0.400397156100227,0.0726433161474789,0.942089956452972,0.99379386656576
"CADM2",45.6988436421385,-0.776903158930407,0.377371266774169,-2.05872366905807,0.0395207174840817,0.185315459383527
"ENSG00000239519",0.398126734113677,-1.85308211781573,1.8029612398379,-1.02779919882378,0.304044293229318,0.99379386656576
"PPARG",30.9400554916377,0.0433282853587522,0.395703344826525,0.109496889337004,0.91280838888514,0.99379386656576
"ROBO1",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"BLTP1",31.5400554916377,-0.00306079009431117,0.393503065998696,-0.00777831320460744,0.99379386656576,0.99379386656576
"PCSK1",41.5400554916377,0.811876476863387,0.372369843089648,2.18029599316379,0.0292355278934452,0.185315459383527
"GPR151",63.2801109832753,-0.0296978419494806,0.350211409895,-0.0847997555487544,0.932420587885618,0.99379386656576
"CREBRF",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"SPARC",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"SIM1",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"UBR2",31.1400554916377,0.0276989750272532,0.394351197648363,0.0702393581975423,0.94400314835528,0.99379386656576
"CNR1",62.2801109832753,-0.0301918019709559,0.350833598572692,-0.0860573277296879,0.931420845266723,0.99379386656576
"LOC100419073",0.598126734113677,1.48541789396155,1.59851136923249,0.929250753264743,0.352759150449508,0.99379386656576
"PHIP",26.7494218210693,-0.022444509043977,0.409180870128426,-0.0548522931605588,0.956256139160693,0.99379386656576
"MRAP2",26.3438020234103,0.327172520643887,0.437596954786403,0.747657215310341,0.454666944144964,0.99379386656576
"CALCR",31.5400554916377,0.0349573014265159,0.393307332214598,0.0888803705480944,0.929176983835643,0.99379386656576
"LEP",45.2950971103659,-0.790707720635421,0.378318718407845,-2.09005709250421,0.0366126714156321,0.185315459383527
"NTRK2",46.2950971103659,-0.802836361849564,0.376821240535969,-2.1305496492386,0.0331262613977113,0.185315459383527
"PDE3B",28.7456752892966,0.0212339152606019,0.402569263168934,0.0527459923131075,0.957934293438342,0.99379386656576
"BDNF",41.7007169080249,-0.7907648401338,0.384473339981933,-2.05674817445329,0.0397104555821843,0.185315459383527
"CADM1",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"ENSG00000273012",0.598126734113677,-0.410392924400117,1.80254934563703,-0.227673614258301,0.819899986524402,0.99379386656576
"NRP1",26.7475485551829,-0.0223406423837557,0.412562397945355,-0.054150941760608,0.956814906098385,0.99379386656576
"ANO4",29.941928757524,0.0844124809542254,0.400445322175599,0.210796521471688,0.833046053022063,0.99379386656576
"KSR2",30.141928757524,-0.0916935485004936,0.398232247889319,-0.230251439923514,0.817896392172009,0.99379386656576
"KIAA0586",31.1400554916377,0.0276989750272532,0.394351197648363,0.0702393581975423,0.94400314835528,0.99379386656576
"ENSG00000261630",0.2,-0.957269908263421,1.89689042457779,-0.504652190690716,0.613803146077244,0.99379386656576
"ENSG00000280392",1.39812673411368,0.174363196736212,1.15700808134484,0.150701796770115,0.88021095580659,0.99379386656576
"AGRP",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"SH2B1",41.3400554916377,0.827014027906583,0.372803580158365,2.21836396408874,0.0265300261028641,0.185315459383527
"FTO",8.58314060702309,-0.951372891578306,0.609058870337663,-1.5620376582823,0.118279117658376,0.496772294165178
"MC4R",19.1400554916377,-1.73184684220947,0.531306243082527,-3.25960190522449,0.00111568692188753,0.0234294253596382
"GIPR",29.5494218210693,0.077082322807171,0.39914512306685,0.193118538477698,0.846866134333305,0.99379386656576
"ANKRD27",31.9400554916377,0.00452158269127179,0.392327475821698,0.0115250217482263,0.990804566650256,0.99379386656576
"DPP9",27.3400554916377,0.013774574356874,0.410635876201001,0.0335444980704305,0.973240381453017,0.99379386656576
